thscode,trade_date,open,high,low,close,volume
700001.TI,2023-10-17,3109.585,3110.656,3091.812,3110.018,635258013.89
700001.TI,2023-10-18,3102.128,3102.177,3071.599,3072.937,660284929.12
700001.TI,2023-10-19,3055.956,3066.532,3025.342,3025.407,697646844.18
700001.TI,2023-10-20,3012.236,3028.633,2995.126,2999.885,634760504.23
700001.TI,2023-10-23,2989.523,2989.523,2933.145,2947.783,661764700.95
700001.TI,2023-10-24,2956.04,2985.012,2941.277,2979.922,711872572.23
700001.TI,2023-10-25,3004.424,3021.829,3001.458,3004.884,771962649.54
700001.TI,2023-10-26,2988.427,3017.914,2981.557,3016.195,727101780.47
700001.TI,2023-10-27,3006.231,3070.682,3001.801,3059.715,799315106.57
700001.TI,2023-10-30,3052.298,3096.49,3052.298,3090.241,852132615.21
700001.TI,2023-10-31,3088.845,3089.454,3064.877,3077.711,773822744.35
700001.TI,2023-11-01,3091.062,3091.062,3069.254,3075.518,687042243.25
700001.TI,2023-11-02,3079.564,3088.151,3051.462,3051.462,671374025.36
700001.TI,2023-11-03,3055.148,3092.591,3055.136,3083.923,677629345.2
700001.TI,2023-11-06,3103.366,3137.738,3103.366,3137.38,887500052.53
700001.TI,2023-11-07,3131.876,3147.688,3122.688,3140.149,816382922.04
700001.TI,2023-11-08,3135.552,3152.741,3123.163,3141.371,853249318.93
700001.TI,2023-11-09,3136.662,3152.23,3125.226,3131.288,783265027.37
700001.TI,2023-11-10,3118.507,3121.02,3104.185,3116.204,678772711.06
700001.TI,2023-11-13,3124.073,3130.82,3110.806,3128.559,714749555.91
700001.TI,2023-11-14,3128.57,3146.028,3127.185,3140.845,740142244.46
700001.TI,2023-11-15,3166.789,3169.374,3151.109,3159.669,783153407.88
700001.TI,2023-11-16,3152.03,3155.459,3130.87,3130.87,698706611.83
700001.TI,2023-11-17,3123.039,3141.412,3119.189,3141.0,685427815.96
700001.TI,2023-11-20,3144.013,3162.284,3129.921,3158.853,753636906.92
700001.TI,2023-11-21,3165.208,3179.452,3146.056,3151.279,871266308.71
700001.TI,2023-11-22,3141.415,3150.227,3118.311,3118.311,784937097.34
700001.TI,2023-11-23,3115.062,3141.731,3107.222,3140.716,740020276.79
